race_5cat,inc_4cat_50k,educ_4cat,ppagecat,ppgender,B2,B3,EF1,EF2,atleast_okay,weight
White,"$50,000–$99,999",High school degree or GED,45-54,Female,Just getting by,About the same,No,No,No,0.9493
White,"$50,000–$99,999",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.7763
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.82
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Doing okay,About the same,Yes,,Yes,0.668
Hispanic,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Living comfortably,About the same,Yes,,Yes,1.0134
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,About the same,No,Yes,Yes,0.7659
White,"$25,000–$49,999",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.2912
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Just getting by,Much worse off,Yes,,No,0.5579
White,"$50,000–$99,999",High school degree or GED,75+,Female,Living comfortably,About the same,Yes,,Yes,0.7818
Black,"$100,000 or more",Bachelor's degree or more,75+,Male,Doing okay,Somewhat better off,Yes,,Yes,0.5962
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Doing okay,About the same,Yes,,Yes,0.9854
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Doing okay,About the same,Yes,,Yes,0.6936
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,Yes,,Yes,1.0899
Hispanic,"$50,000–$99,999",High school degree or GED,65-74,Male,Doing okay,About the same,Yes,,Yes,1.5924
White,"$50,000–$99,999",High school degree or GED,45-54,Female,Doing okay,About the same,Yes,,Yes,0.9493
Hispanic,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.9005
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.0625
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Female,Living comfortably,Somewhat better off,Yes,,Yes,0.8801
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.6762
White,"$50,000–$99,999",High school degree or GED,75+,Female,Living comfortably,Somewhat worse off,Yes,,Yes,0.8802
White,"$25,000–$49,999",Bachelor's degree or more,55-64,Female,Just getting by,About the same,Yes,,No,0.7227
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Doing okay,Somewhat better off,Yes,,Yes,0.6759
White,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,About the same,No,Yes,Yes,1.0543
White,"Less than $25,000",Less than a high school degree,65-74,Female,Finding it difficult to get by,Much worse off,No,No,No,1.0208
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.6469
White,"$25,000–$49,999",Some college/technical or associates degree,55-64,Female,Doing okay,About the same,Yes,,Yes,0.5945
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.4815
White,"$50,000–$99,999",High school degree or GED,65-74,Male,Just getting by,Much worse off,Yes,,No,0.9854
White,"Less than $25,000",High school degree or GED,55-64,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,0.6528
Black,"$25,000–$49,999",Less than a high school degree,55-64,Male,Living comfortably,About the same,Yes,,Yes,1.4465
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Doing okay,About the same,Yes,,Yes,0.7296
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Just getting by,Somewhat better off,Yes,,No,0.9854
White,"$50,000–$99,999",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,0.6585
White,"$25,000–$49,999",High school degree or GED,65-74,Female,Finding it difficult to get by,Somewhat worse off,No,Yes,No,0.6958
White,"$25,000–$49,999",High school degree or GED,75+,Female,Living comfortably,About the same,Yes,,Yes,0.6958
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Living comfortably,About the same,Yes,,Yes,1.0597
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.6161
White,"$25,000–$49,999",Bachelor's degree or more,25-34,Male,Living comfortably,Much better off,Yes,,Yes,0.5724
Black,"$50,000–$99,999",High school degree or GED,35-44,Male,Doing okay,About the same,Yes,,Yes,1.629
White,"$100,000 or more",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,No,Yes,Yes,1.0899
White,"Less than $25,000",Bachelor's degree or more,65-74,Female,Doing okay,About the same,No,No,Yes,0.454
Other,"$25,000–$49,999",Some college/technical or associates degree,75+,Male,Doing okay,Somewhat better off,Yes,,Yes,0.2792
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Male,Doing okay,About the same,Yes,,Yes,0.5132
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,About the same,No,Yes,Yes,0.9059
White,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Living comfortably,Somewhat better off,Yes,,Yes,1.0097
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Doing okay,Much better off,Yes,,Yes,1.3523
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Doing okay,About the same,Yes,,Yes,1.042
White,"$50,000–$99,999",High school degree or GED,75+,Male,Living comfortably,Much better off,Yes,,Yes,0.992
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.1371
White,"$50,000–$99,999",Bachelor's degree or more,35-44,Female,Living comfortably,Much better off,Yes,,Yes,1.3232
White,"$100,000 or more",High school degree or GED,55-64,Male,Living comfortably,Somewhat worse off,Yes,,Yes,1.5873
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Living comfortably,About the same,Yes,,Yes,0.664
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.6936
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Male,Doing okay,About the same,Yes,,Yes,0.4958
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.6634
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.8539
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Male,Doing okay,Somewhat better off,Yes,,Yes,0.4754
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.9568
Black,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Doing okay,About the same,No,No,Yes,0.8329
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.6161
Hispanic,"$100,000 or more",Some college/technical or associates degree,45-54,Male,Doing okay,About the same,No,Yes,Yes,0.9443
White,"$25,000–$49,999",High school degree or GED,45-54,Female,Finding it difficult to get by,Much worse off,No,No,No,0.8799
White,"Less than $25,000",Less than a high school degree,55-64,Male,Just getting by,Somewhat worse off,Yes,,No,1.2633
White,"Less than $25,000",Some college/technical or associates degree,55-64,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,0.7343
White,"$25,000–$49,999",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.4149
White,"$100,000 or more",High school degree or GED,65-74,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.2756
Black,"$50,000–$99,999",Some college/technical or associates degree,45-54,Male,Doing okay,About the same,No,No,Yes,0.9434
White,"$100,000 or more",High school degree or GED,75+,Male,Living comfortably,About the same,Yes,,Yes,0.8812
Other,"$50,000–$99,999",Some college/technical or associates degree,55-64,Female,Doing okay,About the same,No,No,Yes,2.4864
Hispanic,"$100,000 or more",Bachelor's degree or more,45-54,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.0134
Asian,"$100,000 or more",Bachelor's degree or more,45-54,Female,Doing okay,Somewhat better off,Yes,,Yes,1.7033
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.5461
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.743
Black,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Doing okay,About the same,Yes,,Yes,0.7743
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,35-44,Male,Just getting by,About the same,No,No,No,1.099
Black,"Less than $25,000",Some college/technical or associates degree,45-54,Female,Doing okay,About the same,Yes,,Yes,1.1274
White,"$100,000 or more",Bachelor's degree or more,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.7763
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.6161
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.5635
White,"$100,000 or more",High school degree or GED,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.1535
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Doing okay,Much worse off,Yes,,Yes,0.7471
White,"$50,000–$99,999",High school degree or GED,25-34,Male,Doing okay,About the same,No,No,Yes,1.1864
White,"$100,000 or more",Bachelor's degree or more,35-44,Female,Living comfortably,About the same,Yes,,Yes,1.0968
White,"$100,000 or more",Some college/technical or associates degree,75+,Female,Doing okay,Somewhat worse off,No,No,Yes,0.9937
White,"$50,000–$99,999",Less than a high school degree,75+,Male,Just getting by,Somewhat worse off,Yes,,No,0.8812
White,"$25,000–$49,999",High school degree or GED,45-54,Male,Finding it difficult to get by,Much worse off,No,No,No,0.974
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.6936
White,"$100,000 or more",High school degree or GED,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.3756
Black,"$100,000 or more",Bachelor's degree or more,65-74,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.1221
White,"$100,000 or more",Bachelor's degree or more,35-44,Female,Living comfortably,Somewhat worse off,Yes,,Yes,1.4103
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat worse off,Yes,,Yes,0.9613
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.6936
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.7967
Black,"$25,000–$49,999",Bachelor's degree or more,65-74,Female,Doing okay,Much better off,Yes,,Yes,0.6392
White,"$100,000 or more",Bachelor's degree or more,55-64,Male,Just getting by,Somewhat worse off,No,Yes,No,0.5785
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,1.0279
White,"Less than $25,000",Some college/technical or associates degree,25-34,Male,Doing okay,Somewhat better off,No,Yes,Yes,0.899
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.5461
Black,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Doing okay,About the same,No,Yes,Yes,0.9567
White,"Less than $25,000",Some college/technical or associates degree,55-64,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.583
White,"$50,000–$99,999",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,0.6149
Black,"$100,000 or more",Bachelor's degree or more,45-54,Female,Just getting by,Somewhat worse off,No,Yes,No,1.2102
Other,"Less than $25,000",Bachelor's degree or more,35-44,Female,Finding it difficult to get by,Somewhat better off,No,No,No,0.1912
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Finding it difficult to get by,Somewhat worse off,No,No,No,0.7627
White,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Living comfortably,About the same,No,Yes,Yes,0.743
White,"$100,000 or more",High school degree or GED,45-54,Female,Living comfortably,Somewhat better off,Yes,,Yes,1.1535
White,"$50,000–$99,999",High school degree or GED,35-44,Female,Doing okay,About the same,Yes,,Yes,1.0781
White,"Less than $25,000",Some college/technical or associates degree,35-44,Male,Finding it difficult to get by,About the same,No,No,No,0.561
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,45-54,Female,Doing okay,Somewhat better off,Yes,,Yes,2.0999
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Finding it difficult to get by,Somewhat worse off,No,No,No,0.9113
White,"$25,000–$49,999",Bachelor's degree or more,45-54,Female,Just getting by,Somewhat worse off,No,No,No,0.9589
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,Much better off,Yes,,Yes,0.7627
White,"$25,000–$49,999",Some college/technical or associates degree,35-44,Female,Doing okay,About the same,Yes,,Yes,0.7057
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,About the same,Yes,,Yes,0.7563
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Living comfortably,About the same,Yes,,Yes,0.6161
Black,"$100,000 or more",Bachelor's degree or more,45-54,Male,Just getting by,Somewhat better off,No,Yes,No,0.8361
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.0108
Black,"$25,000–$49,999",Some college/technical or associates degree,75+,Female,Doing okay,About the same,Yes,,Yes,1.2867
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.7255
White,"$100,000 or more",Less than a high school degree,45-54,Male,Doing okay,About the same,Yes,,Yes,1.6107
White,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Living comfortably,About the same,Yes,,Yes,1.0377
White,"Less than $25,000",Some college/technical or associates degree,45-54,Male,Just getting by,About the same,Yes,,No,0.8547
Other,"$100,000 or more",Bachelor's degree or more,35-44,Female,Doing okay,Somewhat better off,Yes,,Yes,0.4335
Hispanic,"Less than $25,000",Some college/technical or associates degree,35-44,Male,Doing okay,About the same,No,Yes,Yes,1.38
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.5791
White,"$100,000 or more",Bachelor's degree or more,75+,Female,Living comfortably,Somewhat worse off,Yes,,Yes,1.0543
Hispanic,"$50,000–$99,999",Some college/technical or associates degree,75+,Female,Living comfortably,About the same,Yes,,Yes,1.4493
White,"$100,000 or more",High school degree or GED,35-44,Male,Living comfortably,About the same,No,No,Yes,1.6015
White,"$50,000–$99,999",Some college/technical or associates degree,35-44,Male,Finding it difficult to get by,Much worse off,No,No,No,1.2386
White,"$25,000–$49,999",High school degree or GED,75+,Female,Doing okay,About the same,Yes,,Yes,0.7224
White,"$100,000 or more",High school degree or GED,55-64,Male,Living comfortably,About the same,Yes,,Yes,1.0585
Asian,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.6971
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Just getting by,Somewhat worse off,No,No,No,0.6968
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.92
Hispanic,"$100,000 or more",Some college/technical or associates degree,75+,Male,Living comfortably,About the same,Yes,,Yes,1.1622
White,"$25,000–$49,999",Some college/technical or associates degree,75+,Female,Doing okay,About the same,No,Yes,Yes,0.5945
Black,"$25,000–$49,999",Bachelor's degree or more,45-54,Male,Just getting by,About the same,No,No,No,0.4179
White,"$25,000–$49,999",High school degree or GED,25-34,Male,Living comfortably,About the same,No,Yes,Yes,1.2763
Hispanic,"$25,000–$49,999",High school degree or GED,75+,Male,Just getting by,About the same,No,Yes,No,1.5465
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Living comfortably,About the same,No,Yes,Yes,0.6349
Hispanic,"Less than $25,000",Less than a high school degree,55-64,Male,Just getting by,About the same,No,Yes,No,1.7774
Hispanic,"$50,000–$99,999",Bachelor's degree or more,35-44,Female,Living comfortably,About the same,No,No,Yes,1.0752
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Living comfortably,About the same,Yes,,Yes,1.0505
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.6161
White,"$25,000–$49,999",High school degree or GED,45-54,Male,Just getting by,Much worse off,No,Yes,No,0.8881
White,"$50,000–$99,999",Some college/technical or associates degree,35-44,Male,Finding it difficult to get by,Much worse off,No,No,No,1.1538
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Doing okay,Somewhat worse off,No,Yes,Yes,0.4832
White,"$50,000–$99,999",Some college/technical or associates degree,35-44,Male,Living comfortably,Somewhat better off,No,No,Yes,0.8499
White,"$25,000–$49,999",High school degree or GED,75+,Female,Living comfortably,Much worse off,Yes,,Yes,0.6958
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Male,Doing okay,About the same,Yes,,Yes,0.6895
White,"$100,000 or more",High school degree or GED,45-54,Male,Doing okay,About the same,No,Yes,Yes,1.3149
Other,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Living comfortably,Much better off,No,Yes,Yes,0.3365
White,"$25,000–$49,999",High school degree or GED,75+,Female,Doing okay,About the same,Yes,,Yes,0.6958
White,"Less than $25,000",Less than a high school degree,35-44,Female,Finding it difficult to get by,Somewhat worse off,Yes,,No,1.0294
Hispanic,"Less than $25,000",High school degree or GED,25-34,Male,Finding it difficult to get by,Somewhat worse off,Yes,,No,1.9863
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,About the same,Yes,,Yes,0.8724
White,"$25,000–$49,999",High school degree or GED,75+,Male,Living comfortably,About the same,Yes,,Yes,0.8189
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Living comfortably,Much better off,Yes,,Yes,0.6585
White,"$25,000–$49,999",High school degree or GED,65-74,Female,Just getting by,Somewhat worse off,No,No,No,0.6778
Black,"$100,000 or more",Some college/technical or associates degree,45-54,Male,Doing okay,About the same,Yes,,Yes,1.3417
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Just getting by,About the same,No,No,No,0.6462
White,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Doing okay,Somewhat better off,Yes,,Yes,1.3108
White,"$100,000 or more",Bachelor's degree or more,35-44,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.8499
Asian,"$100,000 or more",Bachelor's degree or more,55-64,Male,Doing okay,About the same,Yes,,Yes,0.6971
White,"Less than $25,000",Bachelor's degree or more,75+,Male,Living comfortably,About the same,Yes,,Yes,0.4877
White,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Doing okay,About the same,No,Yes,Yes,1.2294
Hispanic,"$100,000 or more",High school degree or GED,45-54,Male,Doing okay,About the same,No,Yes,Yes,2.1249
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,Much better off,Yes,,Yes,0.6041
Other,"$100,000 or more",Some college/technical or associates degree,55-64,Female,Doing okay,About the same,Yes,,Yes,0.4475
White,"$100,000 or more",Bachelor's degree or more,25-34,Female,Living comfortably,About the same,Yes,,Yes,1.4842
White,"$50,000–$99,999",Bachelor's degree or more,75+,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.4252
Hispanic,"$100,000 or more",Bachelor's degree or more,35-44,Male,Doing okay,About the same,Yes,,Yes,0.7775
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Male,Living comfortably,Much better off,No,Yes,Yes,0.4754
White,"$100,000 or more",Bachelor's degree or more,35-44,Female,Just getting by,Somewhat worse off,No,No,No,1.0685
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Doing okay,About the same,Yes,,Yes,0.6857
Hispanic,"$25,000–$49,999",Some college/technical or associates degree,35-44,Male,Finding it difficult to get by,Somewhat worse off,No,No,No,0.852
White,"$100,000 or more",Bachelor's degree or more,45-54,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.1806
Hispanic,"Less than $25,000",Some college/technical or associates degree,65-74,Female,Just getting by,Somewhat worse off,No,No,No,1.0821
White,"$100,000 or more",High school degree or GED,55-64,Female,Living comfortably,About the same,Yes,,Yes,0.9392
White,"$100,000 or more",High school degree or GED,45-54,Female,Doing okay,About the same,No,Yes,Yes,1.4708
White,"$50,000–$99,999",Some college/technical or associates degree,45-54,Male,Doing okay,Somewhat worse off,No,Yes,Yes,0.7708
Black,"$50,000–$99,999",High school degree or GED,45-54,Female,Doing okay,Somewhat worse off,No,No,Yes,1.0544
White,"$25,000–$49,999",Some college/technical or associates degree,55-64,Female,Just getting by,About the same,No,No,No,0.6356
Hispanic,"$50,000–$99,999",High school degree or GED,25-34,Male,Doing okay,Somewhat better off,No,No,Yes,1.9172
White,"$25,000–$49,999",Some college/technical or associates degree,35-44,Male,Just getting by,About the same,Yes,,No,1.1249
Black,"$100,000 or more",Bachelor's degree or more,65-74,Female,Doing okay,About the same,Yes,,Yes,0.8263
Hispanic,"$100,000 or more",Some college/technical or associates degree,45-54,Male,Doing okay,About the same,No,Yes,Yes,0.9443
White,"$25,000–$49,999",High school degree or GED,75+,Male,Doing okay,About the same,No,No,Yes,0.8142
Hispanic,"Less than $25,000",Bachelor's degree or more,55-64,Male,Living comfortably,Much worse off,No,No,Yes,1.3163
White,"$100,000 or more",Bachelor's degree or more,65-74,Male,Doing okay,About the same,Yes,,Yes,0.4976
White,"$25,000–$49,999",High school degree or GED,65-74,Female,Just getting by,About the same,No,No,No,0.6958
Other,"$25,000–$49,999",High school degree or GED,75+,Female,Doing okay,About the same,No,Yes,Yes,0.5629
White,"Less than $25,000",Some college/technical or associates degree,65-74,Male,Just getting by,Much worse off,No,Yes,No,1.066
White,"$50,000–$99,999",Bachelor's degree or more,35-44,Male,Doing okay,About the same,Yes,,Yes,0.5976
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,Somewhat better off,Yes,,Yes,0.7856
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.4754
Hispanic,"Less than $25,000",High school degree or GED,35-44,Male,Just getting by,Somewhat worse off,No,No,No,2.2533
White,"$100,000 or more",Some college/technical or associates degree,45-54,Male,Doing okay,About the same,Yes,,Yes,0.719
Black,"$25,000–$49,999",Some college/technical or associates degree,55-64,Female,Just getting by,Somewhat worse off,No,No,No,1.1906
White,"$50,000–$99,999",Bachelor's degree or more,55-64,Female,Living comfortably,Somewhat worse off,Yes,,Yes,0.7995
White,"$50,000–$99,999",Bachelor's degree or more,65-74,Female,Living comfortably,About the same,Yes,,Yes,0.5603
White,"$25,000–$49,999",Some college/technical or associates degree,65-74,Female,Doing okay,About the same,Yes,,Yes,0.6807
Black,"Less than $25,000",Bachelor's degree or more,55-64,Female,Doing okay,About the same,No,Yes,Yes,0.5743
Black,"$25,000–$49,999",Bachelor's degree or more,75+,Female,Just getting by,About the same,No,No,No,0.789
Hispanic,"$25,000–$49,999",Some college/technical or associates degree,25-34,Female,Just getting by,Somewhat worse off,No,No,No,1.5817
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.6185
White,"$50,000–$99,999",Some college/technical or associates degree,75+,Male,Doing okay,About the same,Yes,,Yes,0.5579
White,"$100,000 or more",Some college/technical or associates degree,45-54,Female,Doing okay,Much worse off,No,No,Yes,0.8895
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Living comfortably,About the same,Yes,,Yes,0.6978
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Just getting by,Somewhat worse off,No,No,No,0.565
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Male,Living comfortably,About the same,Yes,,Yes,1.1318
Hispanic,"$25,000–$49,999",Bachelor's degree or more,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.5455
White,"$50,000–$99,999",Bachelor's degree or more,35-44,Female,Just getting by,Somewhat worse off,No,Yes,No,1.1727
White,"$25,000–$49,999",High school degree or GED,75+,Male,Doing okay,Somewhat worse off,Yes,,Yes,0.8979
White,"$50,000–$99,999",Some college/technical or associates degree,55-64,Female,Doing okay,Somewhat better off,No,No,Yes,0.7521
White,"$50,000–$99,999",Bachelor's degree or more,45-54,Male,Doing okay,About the same,No,No,Yes,0.5785
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,No,Yes,Yes,0.5107
Black,"$50,000–$99,999",Some college/technical or associates degree,55-64,Female,Doing okay,Somewhat better off,Yes,,Yes,1.1491
White,"Less than $25,000",High school degree or GED,55-64,Female,Just getting by,Somewhat better off,No,No,No,0.6778
Hispanic,"$25,000–$49,999",High school degree or GED,75+,Female,Doing okay,About the same,Yes,,Yes,0.8773
Black,"$25,000–$49,999",Some college/technical or associates degree,45-54,Female,Just getting by,About the same,No,No,No,0.6349
White,"$25,000–$49,999",Bachelor's degree or more,65-74,Female,Doing okay,About the same,Yes,,Yes,0.8514
Black,"$25,000–$49,999",High school degree or GED,75+,Female,Finding it difficult to get by,About the same,No,No,No,1.0994
White,"$25,000–$49,999",Some college/technical or associates degree,35-44,Male,Just getting by,Somewhat worse off,No,Yes,No,1.0046
White,"$50,000–$99,999",High school degree or GED,65-74,Female,Doing okay,Much worse off,Yes,,Yes,0.8333
Black,"Less than $25,000",Bachelor's degree or more,45-54,Female,Just getting by,Somewhat worse off,No,No,No,1.243
White,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,About the same,Yes,,Yes,0.7964
White,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,Much better off,Yes,,Yes,0.9328
Hispanic,"$100,000 or more",Bachelor's degree or more,45-54,Female,Just getting by,Somewhat worse off,No,No,No,1.2549
White,"$100,000 or more",Some college/technical or associates degree,65-74,Male,Doing okay,Somewhat worse off,Yes,,Yes,1.0357
Hispanic,"$100,000 or more",Some college/technical or associates degree,55-64,Male,Living comfortably,Somewhat worse off,Yes,,Yes,0.8337
White,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,About the same,No,Yes,Yes,0.4976
White,"$25,000–$49,999",Some college/technical or associates degree,55-64,Female,Doing okay,About the same,Yes,,Yes,0.8523
Black,"$50,000–$99,999",Less than a high school degree,45-54,Female,Doing okay,Somewhat better off,No,No,Yes,1.3339
White,"$100,000 or more",High school degree or GED,65-74,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.0042
White,"Less than $25,000",High school degree or GED,65-74,Female,Just getting by,About the same,No,No,No,0.6696
Asian,"$100,000 or more",Bachelor's degree or more,75+,Male,Living comfortably,Much better off,Yes,,Yes,0.8632
White,"$25,000–$49,999",Bachelor's degree or more,65-74,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.5603
White,"$50,000–$99,999",Some college/technical or associates degree,65-74,Female,Doing okay,Somewhat worse off,No,Yes,Yes,0.7521
White,"Less than $25,000",Less than a high school degree,45-54,Female,Just getting by,Somewhat worse off,No,No,No,1.0527
Hispanic,"$100,000 or more",Bachelor's degree or more,25-34,Male,Living comfortably,About the same,Yes,,Yes,0.9628
Hispanic,"$50,000–$99,999",Bachelor's degree or more,25-34,Female,Living comfortably,Somewhat better off,No,No,Yes,0.8356
White,"$50,000–$99,999",High school degree or GED,45-54,Male,Doing okay,Much worse off,Yes,,Yes,0.9222
Asian,"$100,000 or more",Bachelor's degree or more,25-34,Female,Doing okay,Somewhat worse off,No,No,Yes,1.7224
Black,"$100,000 or more",Bachelor's degree or more,25-34,Male,Doing okay,About the same,No,No,Yes,0.8224
White,"$100,000 or more",Bachelor's degree or more,45-54,Male,Doing okay,Somewhat better off,Yes,,Yes,0.6006
White,"$100,000 or more",High school degree or GED,75+,Female,Doing okay,Somewhat worse off,Yes,,Yes,1.0301
White,"$50,000–$99,999",Bachelor's degree or more,35-44,Female,Doing okay,Somewhat worse off,Yes,,Yes,0.9731
