age_group,race,income,gender,JOBSAT_W157,JOBSEC_W157,AIWRKOPPO_W157,AIWRKFEEL_c_W157,AIWRKHEARD_W157,CHATWRK_W157,WEIGHT_W157
50-64,White,Upper,Male,2.0,3.0,2.0,1.0,1.0,5.0,0.3402948576093826
65+,White,Low,Female,2.0,1.0,4.0,1.0,2.0,,0.9371479395921484
50-64,White,Upper,Female,3.0,1.0,2.0,2.0,2.0,4.0,0.7727022551196346
30-49,White,Middle,Female,2.0,2.0,,,3.0,,0.9714171495873272
30-49,White,Upper,Male,3.0,1.0,3.0,1.0,1.0,5.0,0.430136656196217
50-64,White,Upper,Female,2.0,2.0,3.0,1.0,2.0,5.0,0.5394709292616586
30-49,White,Middle,Female,2.0,1.0,3.0,1.0,2.0,5.0,1.3245645204754155
30-49,White,Upper,Male,1.0,1.0,4.0,1.0,1.0,2.0,0.4586235812176574
30-49,White,Upper,Female,1.0,1.0,1.0,2.0,1.0,4.0,0.7505928241735528
50-64,White,Middle,Male,3.0,4.0,2.0,1.0,2.0,4.0,0.210619470023679
30-49,White,Upper,Male,2.0,2.0,4.0,2.0,2.0,2.0,0.7980780129239551
50-64,White,Upper,Male,2.0,4.0,,,3.0,,1.9142649022686855
30-49,White,Low,Female,5.0,5.0,,,3.0,,0.6653853482208477
30-49,Hispanic,Low,Female,2.0,2.0,3.0,1.0,1.0,3.0,1.049321437894837
50-64,Other,Upper,Female,3.0,2.0,1.0,2.0,1.0,4.0,0.2553181011496726
18-29,Black,Middle,Female,1.0,1.0,3.0,1.0,2.0,4.0,1.4634748656209275
18-29,White,Middle,Male,3.0,1.0,2.0,1.0,2.0,5.0,0.7523681472086601
30-49,Other,Middle,Female,1.0,1.0,2.0,1.0,1.0,5.0,0.6706410198470939
50-64,White,Middle,Male,4.0,3.0,4.0,1.0,2.0,5.0,0.725197917903983
30-49,Other,Upper,Male,3.0,2.0,2.0,2.0,2.0,4.0,0.8975713554528597
30-49,Black,Low,Female,1.0,2.0,2.0,1.0,1.0,,0.3589960748159292
18-29,Black,Middle,Male,3.0,3.0,2.0,1.0,1.0,5.0,3.581881775428232
30-49,Black,Middle,Male,3.0,2.0,1.0,2.0,2.0,3.0,3.109939300654712
50-64,White,Middle,Female,3.0,3.0,2.0,1.0,2.0,4.0,0.4916721575645609
50-64,Other,Low,Female,3.0,4.0,2.0,2.0,1.0,4.0,0.6795276033764965
50-64,White,Middle,Male,1.0,1.0,1.0,2.0,1.0,3.0,0.6310800074937728
50-64,White,Upper,Male,3.0,2.0,4.0,1.0,2.0,5.0,2.2582479213461144
50-64,Black,Middle,Male,1.0,2.0,4.0,2.0,2.0,,1.783944465202558
18-29,Asian,Low,Female,4.0,3.0,2.0,1.0,1.0,5.0,1.265993435797881
30-49,White,Upper,Male,2.0,2.0,4.0,1.0,2.0,5.0,1.411237853788586
30-49,Hispanic,Low,Female,2.0,5.0,2.0,1.0,2.0,2.0,1.902854520157169
30-49,Hispanic,Middle,Male,2.0,1.0,1.0,2.0,2.0,5.0,1.5708415356331866
65+,White,Upper,Male,2.0,3.0,3.0,2.0,1.0,4.0,0.6308680887798431
18-29,Hispanic,Middle,Female,3.0,2.0,2.0,1.0,1.0,3.0,1.1455150874880549
65+,White,Upper,Female,3.0,1.0,,,3.0,,0.6785596290884324
30-49,Black,Middle,Female,2.0,3.0,2.0,2.0,2.0,4.0,0.4287423938714919
30-49,White,Upper,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.6860480438375601
30-49,White,Middle,Male,3.0,2.0,2.0,1.0,1.0,4.0,0.6590432370492227
30-49,White,Low,Female,3.0,1.0,,,3.0,,0.6901890124161698
18-29,Black,Low,Female,4.0,5.0,2.0,1.0,1.0,5.0,2.817772079554841
50-64,White,Upper,Female,2.0,1.0,3.0,1.0,2.0,5.0,0.9551236708728124
30-49,White,Middle,Female,3.0,2.0,2.0,1.0,2.0,3.0,0.6328090420799534
18-29,Black,Middle,Male,3.0,3.0,2.0,1.0,2.0,,2.7206037075709526
30-49,Other,Upper,Male,3.0,2.0,4.0,2.0,2.0,,0.3479083158082532
18-29,Black,Low,Female,2.0,4.0,,,,3.0,3.309887586228246
50-64,Other,Upper,Female,2.0,5.0,2.0,1.0,2.0,5.0,0.6411541160651698
50-64,White,Middle,Female,1.0,1.0,3.0,1.0,2.0,5.0,1.0524187472931
30-49,Black,Low,Female,1.0,1.0,2.0,1.0,1.0,3.0,0.8704733114572396
30-49,White,Middle,Male,1.0,1.0,1.0,2.0,1.0,3.0,0.5005326105813788
30-49,Hispanic,Middle,Female,3.0,2.0,3.0,2.0,2.0,,0.4053862336674914
30-49,White,Low,Male,3.0,2.0,3.0,2.0,2.0,,1.4454888626772389
30-49,White,Middle,Male,3.0,2.0,4.0,1.0,1.0,3.0,0.5403638472796561
65+,Black,Low,Female,3.0,4.0,2.0,1.0,2.0,5.0,1.2167080343909076
18-29,White,Upper,Male,2.0,2.0,1.0,1.0,2.0,5.0,1.5332376962920042
30-49,White,Upper,Male,4.0,2.0,2.0,1.0,1.0,5.0,0.7234767049313416
50-64,White,Middle,Male,3.0,1.0,3.0,2.0,2.0,,0.7448132541362024
30-49,Other,Upper,Female,3.0,4.0,3.0,1.0,2.0,5.0,0.5197178249958944
18-29,White,Middle,Female,2.0,3.0,,,3.0,,1.2384082219130417
30-49,Hispanic,Low,Female,2.0,1.0,,,3.0,,0.9901014023404728
30-49,White,Upper,Female,4.0,3.0,3.0,1.0,1.0,4.0,0.3869933885189727
50-64,White,Middle,Male,1.0,1.0,3.0,1.0,1.0,4.0,0.6829331973235496
50-64,White,Middle,Male,2.0,1.0,2.0,1.0,2.0,5.0,0.9613927610143108
30-49,White,Middle,Male,3.0,1.0,3.0,1.0,1.0,3.0,0.4611135344271788
30-49,White,Middle,Female,3.0,2.0,3.0,1.0,2.0,,1.559823992121262
50-64,White,Middle,Female,1.0,1.0,2.0,2.0,2.0,,0.8875019076872047
50-64,White,Middle,Female,3.0,2.0,3.0,1.0,1.0,4.0,0.9362273491473664
65+,White,Middle,Male,2.0,1.0,3.0,1.0,2.0,,0.8195336229033725
30-49,Black,Low,Male,3.0,2.0,,,3.0,4.0,2.5472625708983014
30-49,White,Upper,Male,3.0,2.0,3.0,1.0,2.0,5.0,0.5492669827699562
50-64,White,Middle,Male,3.0,2.0,3.0,2.0,2.0,5.0,0.7913138976794326
30-49,Other,Upper,Male,1.0,1.0,3.0,1.0,1.0,5.0,0.1992558171134416
30-49,Black,Low,Female,4.0,2.0,2.0,1.0,1.0,5.0,2.0382718130578077
30-49,White,Upper,Male,3.0,3.0,4.0,2.0,1.0,2.0,1.35416758006105
30-49,White,Upper,Female,3.0,3.0,3.0,1.0,1.0,5.0,0.7697211930087502
18-29,Hispanic,Low,Other,3.0,2.0,2.0,1.0,2.0,5.0,2.09398889258773
30-49,White,Middle,Female,3.0,2.0,4.0,2.0,1.0,,0.4161099595748097
18-29,White,Upper,Male,1.0,1.0,1.0,1.0,1.0,5.0,0.8221271562243712
30-49,White,Upper,Male,3.0,2.0,2.0,1.0,2.0,5.0,0.6529475850135044
30-49,White,Low,Female,4.0,4.0,,,3.0,5.0,1.518274893740873
30-49,Other,Upper,Male,3.0,1.0,4.0,1.0,1.0,1.0,0.5593141098824578
30-49,Black,Middle,Female,3.0,2.0,3.0,2.0,1.0,4.0,0.3933860482593685
50-64,Asian,Upper,Male,4.0,3.0,2.0,1.0,2.0,,1.1699889142257645
30-49,Black,Low,Male,3.0,2.0,,,3.0,,1.2863642126782031
65+,Hispanic,Middle,Male,3.0,2.0,3.0,2.0,2.0,4.0,0.8674181980515888
65+,Hispanic,Middle,Male,2.0,1.0,3.0,2.0,1.0,5.0,0.3292312298627573
50-64,White,Low,Female,1.0,1.0,,,,,0.7632911681245366
50-64,White,Low,Female,2.0,1.0,4.0,1.0,2.0,,1.0515074513340397
50-64,Black,Middle,Female,1.0,1.0,3.0,1.0,2.0,5.0,0.5924972861051595
30-49,White,Upper,Female,1.0,1.0,2.0,1.0,2.0,5.0,0.8128233621585261
50-64,White,Middle,Male,3.0,1.0,2.0,2.0,2.0,4.0,1.019891243014384
30-49,White,Middle,Female,2.0,3.0,3.0,2.0,2.0,5.0,0.7206875499611525
30-49,Hispanic,Middle,Male,1.0,1.0,3.0,2.0,2.0,5.0,1.0728198038068564
50-64,Asian,Middle,Male,3.0,3.0,2.0,1.0,1.0,4.0,0.5253394358631562
18-29,Black,Low,Female,3.0,5.0,,,3.0,4.0,1.7268031182712045
18-29,White,Middle,Female,2.0,1.0,,,3.0,,1.9895152283526432
30-49,White,Middle,Female,1.0,3.0,3.0,1.0,2.0,5.0,0.5503213994409243
18-29,Black,Middle,Female,3.0,3.0,3.0,1.0,2.0,,1.4817982602533082
50-64,White,Upper,Male,2.0,1.0,3.0,1.0,1.0,5.0,0.6494620537073312
50-64,White,Middle,Male,2.0,1.0,2.0,1.0,2.0,,0.4071013540401232
50-64,Hispanic,Low,Male,2.0,1.0,,,3.0,,1.051013198964199
50-64,White,Middle,Female,2.0,2.0,4.0,1.0,2.0,4.0,0.5393557947777416
30-49,White,Middle,Female,4.0,1.0,1.0,1.0,2.0,,0.4067870035700267
30-49,White,Middle,Female,3.0,1.0,2.0,1.0,2.0,5.0,0.6893960652040615
30-49,White,Upper,Female,2.0,3.0,2.0,1.0,1.0,2.0,0.6894428786702899
50-64,Other,Upper,Female,4.0,3.0,3.0,1.0,1.0,3.0,0.421314237906586
50-64,Black,Middle,Female,3.0,2.0,3.0,2.0,1.0,3.0,0.6335759839194032
30-49,Hispanic,Middle,Female,4.0,5.0,2.0,1.0,2.0,3.0,0.1992558171134416
50-64,White,Middle,Female,2.0,2.0,3.0,1.0,2.0,5.0,0.3146373166452031
50-64,White,Middle,Male,3.0,2.0,3.0,2.0,2.0,5.0,0.5853342595506537
30-49,White,Upper,Male,2.0,2.0,3.0,1.0,1.0,5.0,1.198288951110459
30-49,White,Low,Female,3.0,3.0,,,3.0,,0.8319794382708752
50-64,Hispanic,Low,Male,2.0,1.0,,,3.0,,0.5992669146018044
30-49,Hispanic,Middle,Female,2.0,1.0,3.0,1.0,2.0,,0.7333025426798628
50-64,White,Upper,Female,4.0,2.0,4.0,1.0,2.0,,1.3178519587143718
30-49,White,Middle,Male,3.0,3.0,4.0,2.0,2.0,4.0,0.6808718555230833
65+,White,Middle,Female,1.0,1.0,,,3.0,,1.364731202629618
30-49,Asian,Low,Male,3.0,2.0,1.0,1.0,2.0,5.0,1.2125957298529888
30-49,Hispanic,Middle,Male,5.0,5.0,3.0,2.0,2.0,,1.3885938204390746
18-29,White,Low,Female,1.0,1.0,3.0,1.0,2.0,5.0,0.604938717633408
30-49,White,Upper,Male,3.0,2.0,3.0,1.0,2.0,5.0,0.9260760671405608
50-64,White,Middle,Male,3.0,3.0,4.0,2.0,1.0,5.0,1.925399907095964
18-29,Black,Middle,Female,2.0,2.0,2.0,1.0,2.0,4.0,0.975636584310617
50-64,Other,Low,Female,3.0,2.0,2.0,2.0,2.0,5.0,3.9496321742404854
50-64,Black,Low,Female,4.0,4.0,1.0,1.0,1.0,4.0,0.600481811429857
30-49,Other,Upper,Female,2.0,2.0,4.0,2.0,2.0,3.0,0.4632102198783533
30-49,Black,Middle,Male,2.0,1.0,,,3.0,,1.1746217312428586
50-64,Asian,Upper,Male,3.0,5.0,,,3.0,,0.8500610517852353
30-49,White,Low,Female,3.0,2.0,,,3.0,,1.7935446096827226
50-64,Black,Middle,Female,3.0,2.0,,,3.0,3.0,0.8109989065660544
50-64,White,Middle,Female,1.0,1.0,3.0,2.0,1.0,2.0,0.540883102154597
65+,White,Upper,Male,2.0,1.0,2.0,1.0,2.0,5.0,0.1992558171134416
30-49,White,Middle,Male,3.0,2.0,,,3.0,,1.097886312341527
18-29,White,Middle,Female,1.0,2.0,3.0,2.0,2.0,4.0,0.5442628763107911
30-49,Hispanic,Low,Male,4.0,5.0,2.0,1.0,2.0,2.0,2.8155596070245177
30-49,White,Upper,Male,3.0,2.0,3.0,1.0,2.0,5.0,0.6511828726623372
50-64,Hispanic,Middle,Male,1.0,2.0,,,3.0,5.0,0.4907278869749436
30-49,White,Low,Female,3.0,2.0,,,3.0,,1.3452767329928643
50-64,White,Upper,Female,2.0,2.0,2.0,1.0,2.0,5.0,0.4189098181285824
30-49,Other,Middle,Male,3.0,5.0,2.0,1.0,2.0,3.0,0.3119185743468985
30-49,White,Middle,Female,2.0,2.0,4.0,1.0,2.0,3.0,1.2409648659427297
50-64,White,Upper,Male,1.0,1.0,3.0,2.0,2.0,5.0,0.7913895427139173
18-29,Black,Low,Male,1.0,1.0,4.0,2.0,1.0,,4.533992315597835
50-64,White,Middle,Female,2.0,1.0,3.0,1.0,2.0,4.0,0.1992558171134416
30-49,White,Middle,Male,2.0,2.0,3.0,1.0,2.0,4.0,0.5094034864700886
30-49,White,Middle,Male,2.0,4.0,2.0,1.0,2.0,4.0,1.9093547775395932
50-64,White,Upper,Male,2.0,2.0,2.0,1.0,2.0,5.0,0.6387943576238791
30-49,White,Middle,Male,2.0,1.0,3.0,1.0,1.0,4.0,0.7695264997347899
50-64,White,Middle,Male,3.0,1.0,3.0,1.0,2.0,5.0,0.8137690866457115
50-64,White,Upper,Male,2.0,2.0,4.0,1.0,1.0,5.0,0.5340621885130636
30-49,White,Middle,Female,5.0,3.0,,,3.0,5.0,0.6067098580175975
50-64,White,Upper,Male,3.0,1.0,2.0,1.0,2.0,5.0,1.0493188152973736
30-49,Other,Middle,Female,2.0,2.0,2.0,1.0,1.0,2.0,0.4559316002382433
30-49,White,Middle,Female,3.0,3.0,3.0,1.0,2.0,5.0,1.4754195479827978
30-49,Black,Upper,Male,3.0,3.0,1.0,2.0,1.0,2.0,0.7932704274474085
30-49,White,Middle,Male,1.0,1.0,3.0,1.0,1.0,4.0,0.377834283279914
30-49,White,Upper,Male,2.0,2.0,3.0,1.0,2.0,5.0,1.2349477580295185
30-49,Hispanic,Middle,Male,3.0,3.0,2.0,2.0,1.0,4.0,0.7226513328987523
30-49,White,Middle,Male,1.0,1.0,3.0,1.0,2.0,5.0,0.9127434236833318
50-64,Hispanic,Upper,Male,1.0,1.0,2.0,1.0,2.0,,1.2456014190786795
50-64,Black,Low,Male,3.0,4.0,2.0,2.0,2.0,5.0,0.576366963060492
65+,White,Upper,Male,1.0,1.0,3.0,2.0,2.0,5.0,0.4306883584086309
50-64,Hispanic,Low,Female,4.0,1.0,,,3.0,,0.3239143340494426
50-64,White,Upper,Female,4.0,3.0,3.0,2.0,2.0,,0.3916323367186095
30-49,Other,Middle,Female,3.0,3.0,3.0,2.0,1.0,2.0,0.948066569035717
18-29,White,Middle,Male,4.0,5.0,2.0,2.0,1.0,5.0,1.0822314525562136
30-49,White,Upper,Male,3.0,2.0,4.0,1.0,1.0,4.0,2.169716280157312
50-64,White,Upper,Male,2.0,2.0,4.0,1.0,2.0,5.0,0.9918077975320818
18-29,Hispanic,Middle,Female,3.0,1.0,1.0,1.0,2.0,5.0,0.7490017844495882
30-49,Hispanic,Middle,Female,3.0,2.0,4.0,1.0,2.0,1.0,0.3119587158533948
30-49,Asian,Middle,Male,2.0,1.0,3.0,2.0,2.0,5.0,0.7186751778624371
18-29,Black,Low,Female,4.0,5.0,3.0,2.0,2.0,4.0,1.7875471259982116
50-64,White,Middle,Male,2.0,5.0,2.0,1.0,1.0,4.0,0.7318126766805371
50-64,White,Upper,Male,2.0,1.0,3.0,2.0,1.0,4.0,1.8029802633609049
30-49,White,Middle,Female,3.0,2.0,2.0,1.0,2.0,,0.2958340119762259
30-49,Other,Middle,Female,5.0,5.0,3.0,2.0,2.0,2.0,1.960065895651362
30-49,Other,Middle,Female,4.0,1.0,2.0,1.0,1.0,5.0,0.2141676768767772
50-64,White,Upper,Female,2.0,1.0,3.0,1.0,2.0,5.0,1.2312032264371164
30-49,Hispanic,Upper,Male,2.0,3.0,4.0,2.0,2.0,5.0,0.5078039371993952
50-64,White,Upper,Male,2.0,2.0,3.0,2.0,2.0,3.0,1.1862945076718374
50-64,White,Low,Female,1.0,2.0,3.0,1.0,2.0,5.0,0.3920887129977142
30-49,Black,Low,Female,2.0,2.0,1.0,2.0,2.0,3.0,0.7967120111266048
50-64,White,Middle,Male,2.0,2.0,2.0,2.0,2.0,5.0,0.5701586495763935
50-64,Black,Low,Female,3.0,5.0,1.0,1.0,2.0,,0.7176121828115543
30-49,White,Middle,Female,2.0,2.0,2.0,1.0,2.0,,1.5536620771001288
65+,Hispanic,Upper,Male,2.0,2.0,3.0,1.0,1.0,5.0,0.6635418920569589
30-49,White,Middle,Female,1.0,1.0,4.0,1.0,2.0,5.0,0.6168680131068857
50-64,White,Middle,Male,2.0,3.0,4.0,1.0,2.0,4.0,0.5875642074123314
18-29,White,Upper,Male,2.0,1.0,4.0,1.0,2.0,2.0,2.9689871921937274
30-49,Hispanic,Middle,Female,2.0,3.0,,,3.0,,0.5534708189075548
30-49,White,Low,Male,1.0,4.0,3.0,1.0,2.0,4.0,0.541935470490578
50-64,White,Middle,Male,2.0,2.0,3.0,1.0,2.0,,1.216884451758782
30-49,White,Middle,Male,1.0,1.0,3.0,2.0,2.0,4.0,0.6565584226575744
30-49,White,Upper,Male,2.0,2.0,3.0,1.0,2.0,4.0,0.541935470490578
30-49,White,Middle,Male,3.0,2.0,,,3.0,5.0,0.4536961282393519
30-49,White,Middle,Female,3.0,2.0,,,3.0,5.0,1.0573795127656072
50-64,White,Middle,Female,5.0,3.0,,,3.0,,0.6630839203861277
30-49,White,Middle,Female,1.0,1.0,2.0,1.0,1.0,3.0,0.7245409132182501
65+,Other,Upper,Female,3.0,1.0,2.0,1.0,2.0,5.0,0.7550933812974563
50-64,Black,Middle,Female,4.0,4.0,,,3.0,5.0,0.6665693847818437
65+,White,Low,Male,1.0,4.0,3.0,1.0,2.0,,1.1639963251752827
18-29,Hispanic,Low,Female,3.0,4.0,,,3.0,,0.8786358970446368
50-64,Hispanic,Middle,Male,2.0,1.0,3.0,2.0,2.0,5.0,1.309995783080314
50-64,Other,Middle,Female,3.0,2.0,4.0,1.0,2.0,5.0,0.639896003880891
30-49,White,Middle,Female,2.0,1.0,,,3.0,,0.4450435327825333
65+,White,Middle,Female,3.0,2.0,3.0,1.0,2.0,,0.7857015119156174
65+,White,Low,Female,1.0,1.0,,,3.0,,0.4232386772838375
30-49,White,Middle,Male,2.0,2.0,1.0,2.0,1.0,4.0,0.5059425311123793
50-64,White,Upper,Female,2.0,1.0,1.0,2.0,1.0,2.0,0.5936575009438669
18-29,Hispanic,Upper,Female,3.0,2.0,3.0,2.0,1.0,3.0,1.775149442816172
30-49,White,Upper,Female,3.0,2.0,2.0,2.0,2.0,2.0,1.6110050749795968
30-49,Asian,Low,Male,3.0,3.0,2.0,1.0,1.0,,1.2695390251396568
50-64,White,Upper,Female,4.0,4.0,2.0,1.0,2.0,5.0,0.5911423924649492
30-49,Hispanic,Middle,Male,3.0,1.0,4.0,1.0,2.0,4.0,0.5362576312726135
30-49,Black,Low,Female,2.0,1.0,,,3.0,,2.362939205385302
50-64,White,Upper,Male,3.0,2.0,3.0,1.0,2.0,,0.5234079360036363
50-64,Hispanic,Middle,Male,3.0,3.0,4.0,2.0,1.0,2.0,0.4651785358435764
50-64,White,Middle,Female,1.0,2.0,4.0,1.0,2.0,,0.5419531401723412
30-49,White,Middle,Male,2.0,2.0,,,3.0,,0.8300096694069323
30-49,White,Middle,Female,3.0,1.0,3.0,1.0,2.0,5.0,1.1489670669808392
50-64,White,Upper,Female,2.0,1.0,3.0,1.0,2.0,4.0,0.5271595900856232
65+,White,Middle,Male,2.0,1.0,2.0,1.0,2.0,,0.5431403655884584
50-64,Black,Middle,Male,3.0,5.0,2.0,1.0,2.0,,2.5942921761049087
50-64,White,Low,Female,3.0,3.0,3.0,1.0,1.0,4.0,1.0969052496282323
50-64,Hispanic,Middle,Female,3.0,3.0,2.0,1.0,2.0,4.0,0.9082155817575788
65+,White,Low,Female,2.0,2.0,2.0,1.0,2.0,,1.2115131420694367
50-64,White,Middle,Male,3.0,3.0,3.0,2.0,2.0,3.0,0.5772047546842574
30-49,White,Middle,Male,4.0,1.0,2.0,2.0,2.0,5.0,0.8608663011696155
30-49,Asian,Middle,Female,3.0,2.0,,,3.0,,4.764723573445259
30-49,White,Upper,Male,2.0,2.0,3.0,2.0,1.0,4.0,0.5728916071403288
30-49,Other,Middle,Female,2.0,2.0,3.0,1.0,2.0,,1.674725708863298
30-49,White,Upper,Male,3.0,1.0,1.0,2.0,1.0,3.0,0.5505677549945849
30-49,White,Middle,Female,1.0,1.0,3.0,2.0,2.0,4.0,0.5318190947211126
50-64,White,Upper,Male,3.0,2.0,1.0,2.0,1.0,4.0,0.7645575225422555
30-49,White,Upper,Male,1.0,1.0,,,3.0,,2.308924613742175
18-29,White,Middle,Female,3.0,2.0,,,3.0,,2.2386327061189055
18-29,White,Upper,Female,3.0,2.0,4.0,2.0,2.0,2.0,0.3015578956578811
30-49,Other,Middle,Female,2.0,5.0,2.0,2.0,2.0,3.0,3.900264039159949
30-49,Hispanic,Low,Female,3.0,5.0,2.0,1.0,2.0,,1.5759464976077722
30-49,White,Middle,Female,2.0,2.0,4.0,1.0,2.0,5.0,1.7290423360480982
50-64,White,Upper,Male,4.0,4.0,3.0,2.0,2.0,4.0,0.2863759709288027
65+,Hispanic,Middle,Male,2.0,3.0,3.0,2.0,2.0,5.0,0.3636298218082807
30-49,Hispanic,Middle,Male,3.0,3.0,,,3.0,,2.025972195429534
30-49,Black,Upper,Male,3.0,1.0,1.0,2.0,1.0,3.0,0.5235720711610297
30-49,Hispanic,Middle,Female,3.0,3.0,4.0,1.0,2.0,4.0,0.6835172508083834
50-64,White,Middle,Male,3.0,2.0,2.0,2.0,2.0,,0.7071465676743885
30-49,White,Middle,Male,3.0,5.0,2.0,1.0,1.0,4.0,0.911551662416247
50-64,White,Upper,Male,2.0,1.0,3.0,2.0,1.0,,0.3058868491352922
65+,White,Middle,Male,2.0,2.0,4.0,2.0,2.0,5.0,0.9548937323525571
50-64,Hispanic,Upper,Female,1.0,1.0,,,3.0,,0.658396022387884
30-49,White,Upper,Female,3.0,1.0,1.0,2.0,1.0,4.0,0.3924598958288259
50-64,White,Low,Female,2.0,2.0,3.0,1.0,1.0,,0.6278315751022381
30-49,White,Middle,Female,2.0,3.0,2.0,1.0,2.0,5.0,0.7914444008806253
50-64,White,Upper,Female,3.0,5.0,,,3.0,5.0,0.3847897459244425
30-49,Other,Middle,Female,2.0,2.0,4.0,1.0,1.0,2.0,0.2523756051155722
30-49,White,Middle,Male,1.0,1.0,4.0,2.0,2.0,4.0,1.46466313980114
30-49,Hispanic,Middle,Female,4.0,3.0,,,3.0,5.0,0.7350914468075664
30-49,Other,Middle,Female,3.0,2.0,3.0,1.0,2.0,5.0,0.4960891663912535
30-49,White,Middle,Female,1.0,1.0,4.0,2.0,1.0,,0.3909851187519499
50-64,White,Middle,Female,1.0,2.0,2.0,1.0,2.0,,0.6428018973259588
65+,White,Middle,Male,3.0,2.0,2.0,1.0,2.0,4.0,0.6697242813187068
65+,White,Upper,Female,3.0,2.0,3.0,2.0,2.0,4.0,1.3771272586338148
50-64,White,Upper,Male,2.0,1.0,3.0,1.0,1.0,5.0,0.9392588669050944
50-64,White,Upper,Male,4.0,4.0,2.0,2.0,2.0,5.0,0.1992558171134416
50-64,White,Middle,Female,1.0,2.0,2.0,1.0,2.0,5.0,0.5992890775135408
18-29,White,Middle,Female,3.0,1.0,2.0,2.0,2.0,,3.690107095154643
18-29,Other,Upper,Male,3.0,3.0,2.0,1.0,1.0,3.0,1.6609637752510693
50-64,White,Upper,Male,2.0,3.0,,,3.0,3.0,1.4217012314304056
18-29,Black,Upper,Female,5.0,1.0,3.0,1.0,1.0,4.0,1.0035735901051115
50-64,White,Middle,Male,3.0,2.0,,,3.0,,0.7734855930574057
18-29,Other,Middle,Female,1.0,2.0,2.0,1.0,1.0,2.0,0.5245066288800572
18-29,White,Upper,Male,2.0,1.0,3.0,1.0,1.0,5.0,1.0508942644930654
50-64,Black,Upper,Female,3.0,2.0,2.0,1.0,2.0,5.0,0.1992558171134416
50-64,White,Middle,Female,3.0,3.0,,,3.0,,0.8643691895477994
18-29,White,Middle,Male,2.0,2.0,2.0,1.0,1.0,3.0,1.8061522749524448
65+,White,Low,Female,3.0,2.0,2.0,1.0,2.0,,1.0721765697567875
30-49,Hispanic,Middle,Male,1.0,1.0,,,3.0,,1.4360601135178477
50-64,White,Middle,Male,2.0,1.0,1.0,2.0,2.0,4.0,1.9748507372761857
30-49,White,Middle,Female,2.0,2.0,1.0,1.0,2.0,2.0,0.7105004412890673
18-29,Hispanic,Low,Male,3.0,2.0,2.0,1.0,1.0,2.0,1.8558847579836888
18-29,White,Middle,Male,1.0,1.0,3.0,1.0,2.0,5.0,2.0534581664952345
30-49,Other,Middle,Male,3.0,4.0,2.0,1.0,2.0,4.0,0.5383779673530998
50-64,Hispanic,Middle,Female,4.0,3.0,3.0,2.0,1.0,5.0,1.0326893276709848
50-64,White,Middle,Female,3.0,4.0,,,3.0,,0.8742021426965868
30-49,Asian,Low,Female,2.0,2.0,2.0,1.0,1.0,5.0,1.007549156132414
30-49,White,Middle,Female,2.0,1.0,4.0,2.0,2.0,,0.8738121171439611
50-64,White,Upper,Male,4.0,3.0,2.0,1.0,2.0,4.0,0.6795840660386395
18-29,Hispanic,Middle,Female,2.0,1.0,,,3.0,1.0,0.5307894331265416
50-64,White,Middle,Male,2.0,1.0,2.0,2.0,2.0,,0.6258882149635959
30-49,White,Middle,Male,3.0,2.0,4.0,2.0,2.0,4.0,1.0701351040593796
30-49,White,Middle,Female,3.0,4.0,,,3.0,5.0,1.618007657568088
50-64,White,Middle,Female,2.0,2.0,4.0,1.0,2.0,5.0,0.5741216763344547
50-64,White,Middle,Female,1.0,1.0,3.0,1.0,1.0,4.0,0.3948567661280916
30-49,White,Middle,Female,2.0,1.0,2.0,1.0,2.0,4.0,0.3535617375951616
30-49,White,Upper,Male,2.0,1.0,3.0,2.0,2.0,5.0,0.6803564533327441
50-64,White,Upper,Male,1.0,2.0,3.0,2.0,1.0,4.0,0.4030349515523273
30-49,White,Middle,Female,3.0,2.0,3.0,2.0,2.0,5.0,0.3540169034501342
30-49,White,Upper,Male,5.0,1.0,3.0,1.0,1.0,5.0,0.7358004368534354
50-64,White,Upper,Male,3.0,3.0,2.0,1.0,2.0,5.0,0.2813494727034563
30-49,Black,Middle,Female,2.0,2.0,2.0,1.0,2.0,,0.4055594385489048
30-49,White,Upper,Male,3.0,1.0,3.0,1.0,2.0,5.0,1.2864111799125844
30-49,Black,Low,Male,3.0,4.0,2.0,1.0,1.0,4.0,2.7651806338653593
30-49,White,Upper,Female,3.0,1.0,,,3.0,,0.6174279303634375
30-49,Hispanic,Upper,Female,3.0,2.0,,,3.0,,0.7852693532992648
50-64,Asian,Middle,Male,3.0,2.0,2.0,1.0,2.0,5.0,0.6382422484398299
30-49,Hispanic,Low,Female,3.0,3.0,,,3.0,,0.9266405585525316
50-64,White,Upper,Female,1.0,1.0,2.0,1.0,2.0,4.0,0.6395281148842429
30-49,White,Middle,Male,3.0,2.0,,,3.0,5.0,2.389401099000255
30-49,White,Middle,Female,2.0,2.0,4.0,2.0,2.0,,0.4418974212714776
50-64,White,Upper,Male,3.0,2.0,2.0,2.0,1.0,4.0,1.200465430595408
50-64,Black,Middle,Male,3.0,1.0,3.0,2.0,2.0,5.0,1.3943905349907235
30-49,White,Middle,Male,2.0,2.0,,,3.0,,1.0277127831857067
30-49,White,Low,Female,3.0,2.0,3.0,2.0,2.0,5.0,1.5207537430644769
30-49,White,Middle,Male,3.0,3.0,,,3.0,,1.537074241005855
